OldWord,OldStem,NewWord,NewStem
audiō,audiī\b,audīvī,audīvī
eō,\biī\b,īvī,īvī
abeō,\babiī\b,abīvī,abīvī
adeō,\badiī\b,adīvī,adīvī
ambeō,\bambiī\b,ambīvī,ambīvī
ēsuriō,\bēsuriī\b,ēsurīvī,ēsurīvī
intereō,\binteriī\b,interīvī,interīvī
parturiō,\bparturiī\b,parturīvī,parturīvī
pereō,\bperiī\b,perīvī,perīvī
petō,\bpetiī\b,petīvī,petīvī
introeō,\binteroiī\b,interoīvī,interoīvī
queō,\bquiī\b,quīvī,quīvī
redeō,\brediī\b,redīvī,redīvī
subeō,\bsubiī\b,subīvī,subīvī
trānseō,\btrānsiī\b,trānsīvī,trānsīvī
eō,īstī\b,īvistī,īvistī
eō,iit\b,īvit,īvit
eō,iimus\b,īvimus,īvimus
eō,īstis\b,īvistis,īvistis
eō,iērunt\b,īvērunt,īvērunt
eō,iēre\b,īvērunt,īvērunt
eō,ieram\b,īveram,īveram
eō,ierās\b,īverās,īverās
eō,ierat\b,īverat,īverat
eō,ierāmus\b,īverāmus,īverāmus
eō,ierātis\b,īverātis,īverātis
eō,ierant\b,īverant,īverant
eō,ierō\b,īverō,īverō
eō,ieris\b,īveris,īveris
eō,ierit\b,īverit,īverit
eō,ierimus\b,īverimus,īverimus
eō,ieritis\b,īveritis,īveritis
eō,ierint\b,īverint,īverint
eō,ierim\b,īverim,īverim
eō,ierīs\b,īverīs,īverīs
eō,ierit\b,īverit,īverit
eō,ierīmus\b,īverīmus,īverīmus
eō,ierītis\b,īverītis,īverītis
eō,ierint\b,īverint,īverint
eō,īssem\b,īvissem,īvissem
eō,īssēs\b,īvissēs,īvissēs
eō,īsset\b,īvisset,īvisset
eō,īssēmus\b,īvissēmus,īvissēmus
eō,īssētis\b,īvissētis,īvissētis
eō,īssent\b,īvissent,īvissent
eō,īsse\b,īvisse,īvisse
