OldWord,OldStem,NewWord,NewStem
abiectiō,\babiectiō,abjectiō,abjectiō
abiciō,\babic,abjiciō,abjici
abiciō,\babiēc,abjiciō,abjēc
abiiciō,\babiic,abjiciō,abjici
abiiciō,\babiēc,abjiciō,abjēc
adiūtō,\badiūt,adjūtō,adjūt
adiūtor,\badiūt,adjūtor,adjūt
adiūtōrium,\badiūtōri,adjūtōrium,adjūtōri
adiuvō,\badiuv,adjuvō,adjuv
bāiulō,\bbāiul,bājulō,bājul
Beniamin,\bBeniamin,Benjamin,Benjamin
circumiciō,\bcircumici,circumjiciō,circumjici
circumiciō,\bcircumiēc,circumjiciō,circumjēc
coniūnctus,\bconiūnct,conjūnctus,conjūnct
deiciō,\bdeici,dejiciō,dejici
deiciō,\bdeiēc,dejiciō,dejēc
dīiūdicō,\bdīiūdic,dījūdicō,dījūdic
disiciō,\bdisic,disjiciō,disjici
disiciō,\bdisiēc,disjiciō,disjēc
eiciō,\beic,ejiciō,ejici
eiciō,\beiēc,ejiciō,ejēc
eius,\beius,ejus,ejus
iniciō,\binici,injiciō,injici
iniciō,\biniēc,injiciō,injēc
iniūria,\biniūri,injūria,injūri
iniūrius,\biniūri,injūrius,injūri
iniūstē,\biniūstē,injūstē,injūstē
iniūstitia,\biniūstiti,injūstitia,injūstiti
iniūstus,\biniūst,injūstus,injūst
Iabin,\bIabin,Jabin,Jabin
iaceō,\biac,jaceō,jac
iacēns,\biacēn,jacēns,jacēn
Iacob,\bIacob,Jācōb,Jācōb
Jacob,\bJacob,Jācōb,Jācōb
Iacōb,\bIacōb,Jācōb,Jācōb
Iacōb,\bIacōb,Jācōb,Jācōb
Iācōbus,\bIācōb,Jācōbus,Jācōb
iactantia,\biactanti,jactantia,jactanti
iactō,\biact,jactō,jact
iaculum,\biacul,jaculum,jacul
Iairus,\bIairus,Jairus,Jairus
iam,\biam,jam,jam
iānua,\bjānu,jānua,jānu
iecur,\biecur,jecur,jecur
iecur,\biecor,jecur,jecor
iēiūnium,\biēiūni,jējūnium,jējūni
ieiūnium,\bieiūni,jējūnium,jējūni
iēiūnus,\biēiūn,jējūnus,jējūn
ieiūnus,\bieiūn,jējūnus,jējūn
Iemini,\bIemini,Jeminī,Jeminī
Īeremīas,\bĪeremī,Jēremīas,Jēremī
Iēremīas,\bIēremī,Jēremīas,Jēremī
Hieremīas,\bHieremī,Jēremīas,Jēremī
Ierīchō,\bIerīchō,Jerichō,Jerichō
Hierichō,\bHierichō,Jerichō,Jerichō
Hierosolima,\bHierosolim,Jerosolima,Jerosolim
Hierosolyma,\bHierosolym,Jerosolima,Jerosolim
Hierūsalēm,\bHierūsalēm,Jerusalem,Jerusalem
Hierusalem,\bHierusalem,Jerusalem,Jerusalem
Jerūsalēm,\bJerūsalēm,Jerusalem,Jerusalem
Iesse,\bIesse,Jesse,Jesse
Iēsūs,\bIēsūs\b,Jēsūs,Jēsūs
Iēsūs,\bIēsū\b,Jēsūs,Jēsū
Iēsūs,\bIēsum\b,Jēsūs,Jēsum
Ioab,\bIoab,Joab,Joab
Ioannes,\bIoann,Joannes,Joann
Ionadab,\bIonadab,Jonadab,Jonadab
Iordānis,\bIordān,Jordānis,Jordān
Iōsēph,\bIōsēph,Jōsef,Jōsef
iubar,\biubar,jubar,jubar
iubeō,\biub,jubeō,jub
iūbilātiō,\biūbilātiō,jūbilātiō,jūbilātiō
iūbilō,\bjūbil,jūbilō,jūbil
iūcundus,\biūcund,jūcundus,jūcund
Iūda,\bIūda,Jūda,Jūda
Iūdaea,\bIūda,Iūdaea,Iūdae
iūdex,\biūdex,jūdex,jūdex
iūdex,\biūdic,jūdex,jūdic
iūdicium,\biūdici,jūdicium,jūdici
iūdicō,\biūdic,jūdicō,jūdic
iūgiter,\biūgiter,jūgiter,jūgiter
iugum,\biug,jugum,jug
iūmentum,\biūment,jūmentum,jūment
iūnior,\biūni,jūnior,jūni
iungō,\biung,jungō,jung
iungō,\biūnx,jungō,jūnx
iūrāmentum,\biūrāment,jūrāmentum,jūrāment
iūrō,\biūr,jūrō,jūr
iussus,\biuss,jussus,juss
iūstificātiō,\biūstificātiō,jūstificātiō,jūstificātiō
iūstificō,\biūstific,jūstificō,jūstific
iūstificō,\biustific,jūstificō,jūstific
iūstitia,\biūstiti,jūstitia,jūstiti
iūstus,\biūst,jūstus,jūst
iuvenculus,\biuvencul,juvenculus,juvencul
iuvenis,\biuven,juvenis,juven
iuventūs,\biuventū,juventūs,juventū
iūxtā,\biūxtā,jūxtā,jūxtā
iuxtā,\biuxtā,jūxtā,jūxtā
juxtā,\bjuxtā,jūxtā,jūxtā
maior,\bmai,major,maj
maiestās,\bmaiestā,majestās,majestā
obiciō,\bobic,objiciō,objic
obiciō,\bobiēc,objiciō,objēc
prōiciō,\bprōici,prōjiciō,prōjici
prōiciō,\bprōiēc,prōjiciō,prōjēc
subiciō,\bsubici,subjiciō,subjici
subiciō,\bsubiēc,subjiciō,subjēc
supericiō,\bsuperici,superjiciō,superjici
supericiō,\bsuperiēc,superjiciō,superjēc
trāiciō,\btrāici,trājiciō,trājici
trāiciō,\btrāiēc,trājiciō,trājēc
