OldWord,OldStem,NewWord,NewStem
Assyria,\bAssyri,Assiria,Assiri
abyssus,\babyss,abissus,abiss
Aegyptum,\bAegypt,Aegiptum,Aegipt
Babylōn,\bBabylōn,Babilōn,Babilōn
cymbalum,\bcymbal,cimbalum,cimbal
cynomia,\bcynomi,cinomia,cinomi
Hierosolyma,\bHierosolym,Hierosolima,Hierosolim
Jerosolyma,\bJerosolym,Jerosolima,Jerosolim
Hierosolymītae,\bHierosolymīt,Hierosolimītae,Hierosolimītae
Jerosolymītae,\bJerosolymīt,Jerosolimītae,Jerosolimītae
Hierosolymītānus,\bHierosolymītān,Hierosolimītānus,Hierosolimītān
Jerosolymītānus,\bJerosolymītān,Jerosolimītānus,Jerosolimītān
hierosolymītānus,\bhierosolymītān,Hierosolimītānus,Hierosolimītān
jerosolymītānus,\bjerosolymītān,Jerosolimītānus,Jerosolimītān
hydria,\bhydri,hidria,hidri
hymnus,\bhymn,himnus,himn
hypocrita,\bhypocrit,hipocrita,hipocrit
hyssōpum,\bhyssōp,hissōpum,hissōp
lacryma,\blacrym,lacrima,lacrim
myrrha,\bmyrr,mirrha,mirr
mystērium,\bmystēri,mistērium,mistēri
nycticorax,\bnycticora,nicticorax,nicticora
paralyticus,\bparalytic,paraliticus,paralitic
synagōga,\bsynagōg,sinagōga,sinagōg
Tyrus,\bTyr,Tirus,Tir
tympanum,\btympan,timpanum,timpan
Syria,\bSyri,Sīria,Sīri
Syrophoenissa,\bSyrophoeniss,Sirophoenissa,Sirophoeniss
Syrofoenissa,\bSyrofoeniss,Sirofoenissa,Sirofoeniss
